Protocol,Noise_Profile,F_Eve,QBER_Threshold,CHSH_Threshold,Mean_Metric,Std_Metric,Mean_SKR,Std_SKR,FPR,FNR
BB84,Ideal_0%,0.0,0.135,N/A,0.0,0.0,0.49848,0.013272889662767497,0.0,0.0
BB84,Ideal_0%,0.1,0.135,N/A,0.027112257329962877,0.00624603717582686,0.32220881547878305,0.034294565136260266,0.0,1.0
BB84,Ideal_0%,0.2,0.135,N/A,0.047869618424531975,0.010805831495359696,0.2244264143321532,0.045830123508881014,0.0,1.0
BB84,Ideal_0%,0.3,0.135,N/A,0.07561013424198917,0.011940296738244772,0.11537844254555786,0.043555883954961024,0.0,1.0
BB84,Ideal_0%,0.4,0.135,N/A,0.10154983910693956,0.01465875798155682,0.035745275036275136,0.031132358230989487,0.0,0.96
BB84,Ideal_0%,0.5,0.135,N/A,0.12490371430349471,0.013359613729273303,0.0021986727149165167,0.008219991217821519,0.0,0.8
BB84,Ideal_0%,0.6,0.135,N/A,0.15183722032627955,0.01770222625864754,0.0,0.0,0.0,0.2
BB84,Ideal_0%,0.7,0.135,N/A,0.17696774647923025,0.016766658273881553,0.0,0.0,0.0,0.02
BB84,Ideal_0%,0.8,0.135,N/A,0.20405107402129338,0.016474606340373586,0.0,0.0,0.0,0.0
BB84,Ideal_0%,0.9,0.135,N/A,0.2216788888979302,0.014261810894878126,0.0,0.0,0.0,0.0
BB84,Ideal_0%,1.0,0.135,N/A,0.2531727007757509,0.020825366581858445,0.0,0.0,0.0,0.0
BB84,Noise_2%,0.0,0.135,N/A,0.021697605738429014,0.005941541481940393,0.3506584219952363,0.032570660261657634,0.0,0.0
BB84,Noise_2%,0.1,0.135,N/A,0.04329215294246987,0.0073453652707858785,0.24543436889751152,0.03582975955271181,0.0,1.0
BB84,Noise_2%,0.2,0.135,N/A,0.06752128071566495,0.01095453514528096,0.14536966670596205,0.04150456317376345,0.0,1.0
BB84,Noise_2%,0.3,0.135,N/A,0.09149808985852773,0.013281238231774916,0.06111278518728597,0.0419026305693456,0.0,1.0
BB84,Noise_2%,0.4,0.135,N/A,0.11371150358905535,0.01345281094614105,0.012020477561618073,0.01928493027870901,0.0,0.9
BB84,Noise_2%,0.5,0.135,N/A,0.14234453597441635,0.015331916890588817,0.0002983451894938575,0.0020884163264570025,0.0,0.34
BB84,Noise_2%,0.6,0.135,N/A,0.16550809238784908,0.017533613187707776,0.0,0.0,0.0,0.0
BB84,Noise_2%,0.7,0.135,N/A,0.1859575682019468,0.016252477065784643,0.0,0.0,0.0,0.0
BB84,Noise_2%,0.8,0.135,N/A,0.21256728823374002,0.01927157833411082,0.0,0.0,0.0,0.0
BB84,Noise_2%,0.9,0.135,N/A,0.23297844804824394,0.017743753400992344,0.0,0.0,0.0,0.0
BB84,Noise_2%,1.0,0.135,N/A,0.25622869087209993,0.01970152920229444,0.0,0.0,0.0,0.0
BB84,Noise_5%,0.0,0.135,N/A,0.05113092108750148,0.009852732293445339,0.21023808944323188,0.041934557000131975,0.0,0.0
BB84,Noise_5%,0.1,0.135,N/A,0.07096841173477314,0.012290151259747426,0.1324654713385982,0.044905373519143525,0.0,1.0
BB84,Noise_5%,0.2,0.135,N/A,0.09869169735980271,0.012882675945942206,0.04056641976297444,0.03520989793179079,0.0,1.0
BB84,Noise_5%,0.3,0.135,N/A,0.11966187431117976,0.01588933291009156,0.009146115508956444,0.018724128192837832,0.0,0.86
BB84,Noise_5%,0.4,0.135,N/A,0.14268551259324297,0.017178898830487524,0.0,0.0,0.0,0.32
BB84,Noise_5%,0.5,0.135,N/A,0.15923770109624388,0.015666914183745953,0.0,0.0,0.0,0.02
BB84,Noise_5%,0.6,0.135,N/A,0.18582303644693274,0.015344573675314006,0.0,0.0,0.0,0.0
BB84,Noise_5%,0.7,0.135,N/A,0.21000403009916901,0.01682644120784729,0.0,0.0,0.0,0.0
BB84,Noise_5%,0.8,0.135,N/A,0.22943717851220957,0.018351487932399723,0.0,0.0,0.0,0.0
BB84,Noise_5%,0.9,0.135,N/A,0.2523228867300063,0.0166613209070682,0.0,0.0,0.0,0.0
BB84,Noise_5%,1.0,0.135,N/A,0.27161432186570555,0.019972913415516734,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.0,0.135,N/A,0.08082813050236833,0.011923583619280862,0.09702999710372102,0.041027460726828155,0.0,0.0
BB84,Noise_8%,0.1,0.135,N/A,0.10355575136023017,0.014457669135646594,0.0301134213458844,0.038251980890204415,0.0,1.0
BB84,Noise_8%,0.2,0.135,N/A,0.1254250371926694,0.015223596849868033,0.002430498832588688,0.007321333189405624,0.0,0.72
BB84,Noise_8%,0.3,0.135,N/A,0.14258720154599658,0.014142060221961976,0.0,0.0,0.0,0.3
BB84,Noise_8%,0.4,0.135,N/A,0.16144115367360828,0.0154423029652263,0.0,0.0,0.0,0.04
BB84,Noise_8%,0.5,0.135,N/A,0.1842725887208438,0.019039808346573216,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.6,0.135,N/A,0.207814703069914,0.01875975716586039,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.7,0.135,N/A,0.22394742404305487,0.019129572776280603,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.8,0.135,N/A,0.2494465367772074,0.016148882771141765,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.9,0.135,N/A,0.2716233250852937,0.02005010624189674,0.0,0.0,0.0,0.0
BB84,Noise_8%,1.0,0.135,N/A,0.2871019986876071,0.0193678470728632,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.0,0.135,N/A,0.110068409297571,0.014937896026095318,0.017346786219029475,0.02750963683196685,0.08,0.0
BB84,Threshold_11%,0.1,0.135,N/A,0.12716503501523965,0.012967962738112513,0.0011166438998300872,0.0033578306661008095,0.0,0.76
BB84,Threshold_11%,0.2,0.135,N/A,0.1451500358870979,0.013146322804901113,0.0,0.0,0.0,0.26
BB84,Threshold_11%,0.3,0.135,N/A,0.1679427199850404,0.01605690136923152,0.0,0.0,0.0,0.04
BB84,Threshold_11%,0.4,0.135,N/A,0.19065422950054095,0.015145688039484854,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.5,0.135,N/A,0.20966029411609974,0.015864567252768927,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.6,0.135,N/A,0.22861460160009567,0.018716965201315956,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.7,0.135,N/A,0.24449084349703726,0.02077983854415193,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.8,0.135,N/A,0.26670134050021865,0.02013430903506367,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.9,0.135,N/A,0.2840888653988257,0.021938417890200623,0.0,0.0,0.0,0.0
BB84,Threshold_11%,1.0,0.135,N/A,0.30387901463247596,0.018619942764491478,0.0,0.0,0.0,0.0
BB84,IBM_Marrakesh,0.0,0.135,N/A,0.011594732684842823,0.009233487121571236,0.4141852770829843,0.06308320791925036,0.0,0.0
BB84,IBM_Marrakesh,0.25,0.135,N/A,0.07470484099223208,0.02858809176750829,0.13015850622966552,0.08752363330619171,0.0,0.9666666666666667
BB84,IBM_Marrakesh,0.5,0.135,N/A,0.14237960066938773,0.032523236375516004,0.004770610737783701,0.01462476192124263,0.0,0.43333333333333335
BB84,IBM_Marrakesh,0.75,0.135,N/A,0.1955434392750295,0.03868297217483862,0.0,0.0,0.0,0.1
BB84,IBM_Marrakesh,1.0,0.135,N/A,0.26430894804229277,0.054468722132080614,0.0,0.0,0.0,0.0
Six-State,Ideal_0%,0.0,0.167,N/A,0.0,0.0,0.33318000000000003,0.014485427159735395,0.0,0.0
Six-State,Ideal_0%,0.1,0.167,N/A,0.03457078280632747,0.009551886146640421,0.19098221834538506,0.031940537399746234,0.0,1.0
Six-State,Ideal_0%,0.2,0.167,N/A,0.0701144350856688,0.01331460674386346,0.08989903699913412,0.0346565036096538,0.0,1.0
Six-State,Ideal_0%,0.3,0.167,N/A,0.09838674709117372,0.015238516986744494,0.028427354741886453,0.029091299366245292,0.0,1.0
Six-State,Ideal_0%,0.4,0.167,N/A,0.13519960109974113,0.014644362425101115,0.00034125667522625817,0.0017107833404932079,0.0,0.98
Six-State,Ideal_0%,0.5,0.167,N/A,0.17211691765075646,0.020282644621279506,0.0,0.0,0.0,0.42
Six-State,Ideal_0%,0.6,0.167,N/A,0.20190372874430496,0.021529698103935523,0.0,0.0,0.0,0.06
Six-State,Ideal_0%,0.7,0.167,N/A,0.23363644309544984,0.01983859839811001,0.0,0.0,0.0,0.0
Six-State,Ideal_0%,0.8,0.167,N/A,0.2676759560381879,0.028407358759467663,0.0,0.0,0.0,0.0
Six-State,Ideal_0%,0.9,0.167,N/A,0.3064680654924285,0.02707299103650857,0.0,0.0,0.0,0.0
Six-State,Ideal_0%,1.0,0.167,N/A,0.33778345985293434,0.02803520338221878,0.0,0.0,0.0,0.0
Six-State,Noise_2%,0.0,0.167,N/A,0.021258123332139178,0.00760480441536443,0.23550293963757873,0.029377037606617157,0.0,0.0
Six-State,Noise_2%,0.1,0.167,N/A,0.05196382439032972,0.010576253590581322,0.13736879040174618,0.02951423024669638,0.0,1.0
Six-State,Noise_2%,0.2,0.167,N/A,0.0815411183075321,0.017345756353230633,0.06492249240575795,0.03746923406323054,0.0,1.0
Six-State,Noise_2%,0.3,0.167,N/A,0.11815141345518869,0.017368553275478274,0.007691105931404484,0.01624384189504438,0.0,1.0
Six-State,Noise_2%,0.4,0.167,N/A,0.14614455906832688,0.019472001443287666,0.00044290658292124515,0.0022565521742559536,0.0,0.84
