Protocol,Config,P_Noise,F_Eve,Source,N_trials,Mean_N,Mean_n_sift,Mean_m,Mean_Q,Mean_leak_EC,Mean_SKR_finite,CI95_Low_finite,CI95_High_finite,Mean_SKR_asymptotic
E91,Noise_8%,0.16,0.0,ci_pertrial_fpr_noise.csv,200,8192.0,1824.3,912.1,0.146549,275.1,0.00000000,0.00000000,0.00000000,0.00000000
E91,Threshold_11%,0.22,0.0,ci_pertrial_fpr_noise.csv,200,8192.0,1826.0,913.0,0.195017,282.1,0.00000000,0.00000000,0.00000000,0.00000000
Six-State,Ideal_0%,0.0,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,334.0,167.0,0.000000,21.4,0.00000000,0.00000000,0.00000000,0.33402000
Six-State,Ideal_0%,0.0,0.0,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.4,166.2,0.000000,21.3,0.00000000,0.00000000,0.00000000,0.33242500
Six-State,Ideal_0%,0.0,0.1,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.4,166.2,0.032911,34.4,0.00000000,0.00000000,0.00000000,0.19515238
Six-State,Ideal_0%,0.0,0.2,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.6,166.3,0.067631,42.6,0.00000000,0.00000000,0.00000000,0.09622927
Six-State,Ideal_0%,0.0,0.3,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.7,166.3,0.100186,47.1,0.00000000,0.00000000,0.00000000,0.02755959
Six-State,Ideal_0%,0.0,0.4,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.2,166.1,0.131763,49.3,0.00000000,0.00000000,0.00000000,0.00201393
Six-State,Ideal_0%,0.0,0.5,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.0,166.0,0.165753,50.8,0.00000000,0.00000000,0.00000000,0.00000000
Six-State,Ideal_0%,0.0,0.6,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.0,166.0,0.198525,52.3,0.00000000,0.00000000,0.00000000,0.00000000
Six-State,Ideal_0%,0.0,0.7,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.3,166.1,0.230109,51.8,0.00000000,0.00000000,0.00000000,0.00000000
Six-State,Ideal_0%,0.0,0.8,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.2,166.1,0.268461,52.7,0.00000000,0.00000000,0.00000000,0.00000000
Six-State,Ideal_0%,0.0,0.9,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.1,166.0,0.302057,51.5,0.00000000,0.00000000,0.00000000,0.00000000
Six-State,Ideal_0%,0.0,1.0,ci_pertrial_fsweep_ideal.csv,200,1000.0,332.1,166.1,0.332172,52.5,0.00000000,0.00000000,0.00000000,0.00000000
Six-State,Noise_2%,0.04,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,333.4,166.7,0.019757,29.9,0.00000000,0.00000000,0.00000000,0.24167542
Six-State,Noise_5%,0.1,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,332.8,166.4,0.048073,38.5,0.00000000,0.00000000,0.00000000,0.14873909
Six-State,Noise_8%,0.16,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,333.0,166.5,0.079461,44.6,0.00000000,0.00000000,0.00000000,0.06828927
Six-State,Threshold_11%,0.22,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,333.3,166.6,0.111237,48.6,0.00000000,0.00000000,0.00000000,0.01171082
