Protocol,Channel,P_Noise,F_Eve,Trial,Metric_Name,Metric,SKR,Alarm,Detection_Outcome,N,n_sift,m,n_key,Q,leak_EC
E91,Ideal_0%,0.0,0.7,10,CHSH_S,1.8791630647613613,0.0,1,0,8192,1858,929,929,0.13993541442411195,279
E91,Ideal_0%,0.0,0.7,11,CHSH_S,1.774826383335106,0.0,1,0,8192,1804,902,902,0.1629711751662971,278
E91,Ideal_0%,0.0,0.7,12,CHSH_S,1.7915345522820934,0.0,1,0,8192,1789,894,895,0.13806595863610957,280
E91,Ideal_0%,0.0,0.7,13,CHSH_S,1.9225109052674454,0.0,1,0,8192,1877,938,939,0.1523708044752264,329
E91,Ideal_0%,0.0,0.7,14,CHSH_S,1.775094374557876,0.0,1,0,8192,1840,920,920,0.15706521739130436,277
E91,Ideal_0%,0.0,0.7,15,CHSH_S,1.837262204467065,0.0,1,0,8192,1798,899,899,0.1468298109010011,254
E91,Ideal_0%,0.0,0.7,16,CHSH_S,1.888579463978319,0.0,1,0,8192,1809,904,905,0.14427860696517414,282
E91,Ideal_0%,0.0,0.7,17,CHSH_S,1.922183185112464,0.0,1,0,8192,1814,907,907,0.139470782800441,288
E91,Ideal_0%,0.0,0.7,18,CHSH_S,1.8228652629810826,0.0,1,0,8192,1857,928,929,0.13570274636510501,273
E91,Ideal_0%,0.0,0.7,19,CHSH_S,1.8990378796142586,0.0,1,0,8192,1786,893,893,0.14837625979843225,253
E91,Ideal_0%,0.0,0.7,20,CHSH_S,1.7864199688751006,0.0,1,0,8192,1810,905,905,0.15248618784530388,309
E91,Ideal_0%,0.0,0.7,21,CHSH_S,1.8922205829922802,0.0,1,0,8192,1868,934,934,0.15578158458244112,273
E91,Ideal_0%,0.0,0.7,22,CHSH_S,1.8821621288635184,0.0,1,0,8192,1871,936,935,0.15072153928380544,294
E91,Ideal_0%,0.0,0.7,23,CHSH_S,1.7828867727139466,0.0,1,0,8192,1815,908,907,0.15482093663911844,267
E91,Ideal_0%,0.0,0.7,24,CHSH_S,1.7772013885131042,0.0,1,0,8192,1836,918,918,0.1318082788671024,268
E91,Ideal_0%,0.0,0.7,25,CHSH_S,1.8927847978257304,0.0,1,0,8192,1771,886,885,0.13608130999435347,255
E91,Ideal_0%,0.0,0.7,26,CHSH_S,1.8606751575200342,0.0,1,0,8192,1881,940,941,0.16427432216905902,301
E91,Ideal_0%,0.0,0.7,27,CHSH_S,1.7870109557941818,0.0,1,0,8192,1770,885,885,0.13389830508474576,275
E91,Ideal_0%,0.0,0.7,28,CHSH_S,1.7916086175143966,0.0,1,0,8192,1835,918,917,0.1444141689373297,274
E91,Ideal_0%,0.0,0.7,29,CHSH_S,1.825455087256577,0.0,1,0,8192,1813,906,907,0.13182570325427467,288
E91,Ideal_0%,0.0,0.7,30,CHSH_S,1.8743355151329468,0.0,1,0,8192,1818,909,909,0.15566556655665567,279
E91,Ideal_0%,0.0,0.7,31,CHSH_S,1.8128408572092676,0.0,1,0,8192,1806,903,903,0.150609080841639,272
E91,Ideal_0%,0.0,0.7,32,CHSH_S,1.8599544053128665,0.0,1,0,8192,1810,905,905,0.15966850828729282,285
E91,Ideal_0%,0.0,0.7,33,CHSH_S,1.861462407916253,0.0,1,0,8192,1831,916,915,0.1387220098306936,277
E91,Ideal_0%,0.0,0.7,34,CHSH_S,1.9260237117371117,0.0,1,0,8192,1800,900,900,0.16722222222222222,253
E91,Ideal_0%,0.0,0.7,35,CHSH_S,1.753207619251297,0.0,1,0,8192,1824,912,912,0.14857456140350878,255
E91,Ideal_0%,0.0,0.7,36,CHSH_S,1.8129811474631317,0.0,1,0,8192,1786,893,893,0.14501679731243,286
E91,Ideal_0%,0.0,0.7,37,CHSH_S,1.831321359078796,0.0,1,0,8192,1846,923,923,0.14517876489707476,296
E91,Ideal_0%,0.0,0.7,38,CHSH_S,1.8826231383373204,0.0,1,0,8192,1860,930,930,0.1435483870967742,264
E91,Ideal_0%,0.0,0.7,39,CHSH_S,1.8868526829315295,0.0,1,0,8192,1789,894,895,0.13750698714365567,250
E91,Ideal_0%,0.0,0.7,40,CHSH_S,1.853100121187269,0.0,1,0,8192,1899,950,949,0.1395471300684571,257
E91,Ideal_0%,0.0,0.7,41,CHSH_S,1.7883990527787241,0.0,1,0,8192,1818,909,909,0.13916391639163916,261
E91,Ideal_0%,0.0,0.7,42,CHSH_S,1.8304520620194926,0.0,1,0,8192,1824,912,912,0.14364035087719298,270
E91,Ideal_0%,0.0,0.7,43,CHSH_S,1.7852524471309639,0.0,1,0,8192,1890,945,945,0.14074074074074075,299
E91,Ideal_0%,0.0,0.7,44,CHSH_S,1.8330301976246925,0.0,1,0,8192,1805,902,903,0.1368421052631579,274
E91,Ideal_0%,0.0,0.7,45,CHSH_S,1.8834615064419542,0.0,1,0,8192,1774,887,887,0.1527621195039459,294
E91,Ideal_0%,0.0,0.7,46,CHSH_S,1.8973046670967357,0.0,1,0,8192,1762,881,881,0.14018161180476732,273
E91,Ideal_0%,0.0,0.7,47,CHSH_S,1.8865883645705301,0.0,1,0,8192,1779,890,889,0.14446318156267565,253
E91,Ideal_0%,0.0,0.7,48,CHSH_S,1.7497166550710634,0.0,1,0,8192,1817,908,909,0.14034122179416622,284
E91,Ideal_0%,0.0,0.7,49,CHSH_S,1.8657115356565985,0.0,1,0,8192,1855,928,927,0.14878706199460917,275
E91,Ideal_0%,0.0,0.7,50,CHSH_S,1.8989416636115861,0.0,1,0,8192,1843,922,921,0.16115029842647857,278
E91,Ideal_0%,0.0,0.7,51,CHSH_S,1.8961806397490797,0.0,1,0,8192,1905,952,953,0.14698162729658792,297
E91,Ideal_0%,0.0,0.7,52,CHSH_S,1.8919302922295276,0.0,1,0,8192,1824,912,912,0.14638157894736842,294
E91,Ideal_0%,0.0,0.7,53,CHSH_S,1.7650804184763196,0.0,1,0,8192,1832,916,916,0.14519650655021835,285
E91,Ideal_0%,0.0,0.7,54,CHSH_S,1.9883058076341742,0.0,1,0,8192,1828,914,914,0.1537199124726477,260
E91,Ideal_0%,0.0,0.7,55,CHSH_S,1.9853938244260534,0.0,1,0,8192,1790,895,895,0.16089385474860335,253
E91,Ideal_0%,0.0,0.7,56,CHSH_S,1.8599876644341322,0.0,1,0,8192,1798,899,899,0.1446051167964405,290
E91,Ideal_0%,0.0,0.7,57,CHSH_S,1.9245009952036922,0.0,1,0,8192,1861,930,931,0.14132186996238583,294
E91,Ideal_0%,0.0,0.7,58,CHSH_S,1.8423492633122138,0.0,1,0,8192,1812,906,906,0.1390728476821192,249
E91,Ideal_0%,0.0,0.7,59,CHSH_S,1.8886600161672242,0.0,1,0,8192,1764,882,882,0.14852607709750568,265
E91,Ideal_0%,0.0,0.7,60,CHSH_S,1.8079818388148707,0.0,1,0,8192,1822,911,911,0.14763995609220637,252
E91,Ideal_0%,0.0,0.7,61,CHSH_S,1.8531027205302237,0.0,1,0,8192,1781,890,891,0.1493542953396968,262
E91,Ideal_0%,0.0,0.7,62,CHSH_S,1.8698271345115909,0.0,1,0,8192,1779,890,889,0.1551433389544688,262
E91,Ideal_0%,0.0,0.7,63,CHSH_S,1.8984266702084718,0.0,1,0,8192,1808,904,904,0.14767699115044247,272
E91,Ideal_0%,0.0,0.7,64,CHSH_S,1.9017507416927533,0.0,1,0,8192,1885,942,943,0.15543766578249338,268
E91,Ideal_0%,0.0,0.7,65,CHSH_S,1.8077522727447377,0.0,1,0,8192,1824,912,912,0.1425438596491228,279
E91,Ideal_0%,0.0,0.7,66,CHSH_S,1.8458235579618372,0.0,1,0,8192,1850,925,925,0.1437837837837838,292
E91,Ideal_0%,0.0,0.7,67,CHSH_S,1.74634168377283,0.0,1,0,8192,1862,931,931,0.1535982814178303,321
E91,Ideal_0%,0.0,0.7,68,CHSH_S,1.8889461380641897,0.0,1,0,8192,1829,914,915,0.1366867140513942,277
E91,Ideal_0%,0.0,0.7,69,CHSH_S,1.798773810102638,0.0,1,0,8192,1804,902,902,0.14800443458980045,290
E91,Ideal_0%,0.0,0.7,70,CHSH_S,1.8863818160855605,0.0,1,0,8192,1759,880,879,0.15406480955088117,284
E91,Ideal_0%,0.0,0.7,71,CHSH_S,1.9343333325552323,0.0,1,0,8192,1810,905,905,0.13591160220994475,288
E91,Ideal_0%,0.0,0.7,72,CHSH_S,1.9171679580214451,0.0,1,0,8192,1814,907,907,0.14498346196251377,290
E91,Ideal_0%,0.0,0.7,73,CHSH_S,1.9003903264607025,0.0,1,0,8192,1798,899,899,0.1618464961067853,264
E91,Ideal_0%,0.0,0.7,74,CHSH_S,1.8313567073447932,0.0,1,0,8192,1807,904,903,0.15218594355285003,275
E91,Ideal_0%,0.0,0.7,75,CHSH_S,1.8246584842978804,0.0,1,0,8192,1795,898,897,0.15487465181058496,278
E91,Ideal_0%,0.0,0.7,76,CHSH_S,1.8440881580990314,0.0,1,0,8192,1806,903,903,0.15282392026578073,281
E91,Ideal_0%,0.0,0.7,77,CHSH_S,1.8282518814100792,0.0,1,0,8192,1856,928,928,0.1497844827586207,284
E91,Ideal_0%,0.0,0.7,78,CHSH_S,1.8312538783290258,0.0,1,0,8192,1827,914,913,0.14285714285714285,301
E91,Ideal_0%,0.0,0.7,79,CHSH_S,1.782470967759666,0.0,1,0,8192,1760,880,880,0.15284090909090908,263
E91,Ideal_0%,0.0,0.7,80,CHSH_S,1.77847530940587,0.0,1,0,8192,1804,902,902,0.1457871396895787,266
E91,Ideal_0%,0.0,0.7,81,CHSH_S,1.8429217996014646,0.0,1,0,8192,1782,891,891,0.13748597081930417,260
E91,Ideal_0%,0.0,0.7,82,CHSH_S,1.8084290859754748,0.0,1,0,8192,1796,898,898,0.1564587973273942,287
E91,Ideal_0%,0.0,0.7,83,CHSH_S,1.8438554175498283,0.0,1,0,8192,1801,900,901,0.16213214880621876,284
E91,Ideal_0%,0.0,0.7,84,CHSH_S,1.7862405678416966,0.0,1,0,8192,1821,910,911,0.15046677649643053,276
E91,Ideal_0%,0.0,0.7,85,CHSH_S,1.874803872370387,0.0,1,0,8192,1834,917,917,0.1608505997818975,280
E91,Ideal_0%,0.0,0.7,86,CHSH_S,1.7563198593102516,0.0,1,0,8192,1865,932,933,0.16193029490616623,285
E91,Ideal_0%,0.0,0.7,87,CHSH_S,1.8320284391380013,0.0,1,0,8192,1852,926,926,0.14254859611231102,284
E91,Ideal_0%,0.0,0.7,88,CHSH_S,1.8746037983541968,0.0,1,0,8192,1822,911,911,0.15367727771679474,264
E91,Ideal_0%,0.0,0.7,89,CHSH_S,1.8595203959779179,0.0,1,0,8192,1850,925,925,0.14270270270270272,269
E91,Ideal_0%,0.0,0.7,90,CHSH_S,1.8724927561696496,0.0,1,0,8192,1878,939,939,0.15122470713525027,265
E91,Ideal_0%,0.0,0.7,91,CHSH_S,1.7722870368235175,0.0,1,0,8192,1809,904,905,0.13266998341625208,279
E91,Ideal_0%,0.0,0.7,92,CHSH_S,1.9025481008613228,0.0,1,0,8192,1850,925,925,0.1535135135135135,289
E91,Ideal_0%,0.0,0.7,93,CHSH_S,1.7566611348528662,0.0,1,0,8192,1872,936,936,0.13942307692307693,255
E91,Ideal_0%,0.0,0.7,94,CHSH_S,1.915148405294802,0.0,1,0,8192,1825,912,913,0.14191780821917807,283
E91,Ideal_0%,0.0,0.7,95,CHSH_S,1.806068186866506,0.0,1,0,8192,1843,922,921,0.1454150841020076,281
E91,Ideal_0%,0.0,0.7,96,CHSH_S,1.8555627053381623,0.0,1,0,8192,1887,944,943,0.13778484366719662,304
E91,Ideal_0%,0.0,0.7,97,CHSH_S,1.8113164113560651,0.0,1,0,8192,1834,917,917,0.14176663031624864,262
E91,Ideal_0%,0.0,0.7,98,CHSH_S,1.8331861787705976,0.0,1,0,8192,1832,916,916,0.13864628820960698,280
E91,Ideal_0%,0.0,0.7,99,CHSH_S,1.7960252905950085,0.0,1,0,8192,1838,919,919,0.14091403699673558,289
E91,Ideal_0%,0.0,0.7,100,CHSH_S,1.8790201547841467,0.0,1,0,8192,1899,950,949,0.1484992101105845,286
E91,Ideal_0%,0.0,0.7,101,CHSH_S,1.748131428491588,0.0,1,0,8192,1838,919,919,0.15179542981501631,271
E91,Ideal_0%,0.0,0.7,102,CHSH_S,1.866436112392025,0.0,1,0,8192,1737,868,869,0.14104778353483016,265
E91,Ideal_0%,0.0,0.7,103,CHSH_S,1.923757955745793,0.0,1,0,8192,1763,882,881,0.15768576290414066,288
