Protocol,Sweep,Config_Profile,Config_Point,Metric_Name,N_Trials,Running_Mean,Running_SE
BB84,sweep_a,Ideal_0%,f=0.4,QBER,50,0.10313531015359939,0.002165667655797413
BB84,sweep_a,Ideal_0%,f=0.4,QBER,100,0.10002877930482343,0.0014879633099183598
BB84,sweep_a,Ideal_0%,f=0.4,QBER,200,0.10005069421055783,0.0009947330202875787
BB84,sweep_a,Ideal_0%,f=0.4,SKR,10,0.037219963887157446,0.009425552085703863
BB84,sweep_a,Ideal_0%,f=0.4,SKR,25,0.033393657398283115,0.006498750718278021
BB84,sweep_a,Ideal_0%,f=0.4,SKR,50,0.033203664663007955,0.00434737435607013
BB84,sweep_a,Ideal_0%,f=0.4,SKR,100,0.039772500784237955,0.003581939838404462
BB84,sweep_a,Ideal_0%,f=0.4,SKR,200,0.0385521207533767,0.0025680315677608315
BB84,sweep_a,Ideal_0%,f=0.4,FNR,10,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.4,FNR,25,0.96,0.04
BB84,sweep_a,Ideal_0%,f=0.4,FNR,50,0.94,0.033926691677251195
BB84,sweep_a,Ideal_0%,f=0.4,FNR,100,0.97,0.017144660799776532
BB84,sweep_a,Ideal_0%,f=0.4,FNR,200,0.985,0.008616625276509297
BB84,sweep_a,Ideal_0%,f=0.5,QBER,10,0.12773447714367184,0.0061011047034301834
BB84,sweep_a,Ideal_0%,f=0.5,QBER,25,0.12387694584944126,0.0033910323102623006
BB84,sweep_a,Ideal_0%,f=0.5,QBER,50,0.12176599387988796,0.002259402281190159
BB84,sweep_a,Ideal_0%,f=0.5,QBER,100,0.1238692713322786,0.0015794677793175573
BB84,sweep_a,Ideal_0%,f=0.5,QBER,200,0.12258105004160176,0.0010383271671912935
BB84,sweep_a,Ideal_0%,f=0.5,SKR,10,0.007107434300878861,0.005488409979420691
BB84,sweep_a,Ideal_0%,f=0.5,SKR,25,0.0054481511448367615,0.003093004641679965
BB84,sweep_a,Ideal_0%,f=0.5,SKR,50,0.006212208076554649,0.0022458476942978337
BB84,sweep_a,Ideal_0%,f=0.5,SKR,100,0.004921300233873252,0.0014074613652571297
BB84,sweep_a,Ideal_0%,f=0.5,SKR,200,0.004741727631410235,0.0009526448594465033
BB84,sweep_a,Ideal_0%,f=0.5,FNR,10,0.7,0.15275252316519464
BB84,sweep_a,Ideal_0%,f=0.5,FNR,25,0.8,0.08164965809277261
BB84,sweep_a,Ideal_0%,f=0.5,FNR,50,0.8,0.05714285714285715
BB84,sweep_a,Ideal_0%,f=0.5,FNR,100,0.75,0.04351941398892446
BB84,sweep_a,Ideal_0%,f=0.5,FNR,200,0.8,0.02835524820033344
