Noise_Profile,S_star,S_H_hat,S_H_std,S_f1_hat,S_f1_std,F_Eve,Mean_S,Std_S,Mean_SKR,Std_SKR,FPR,FNR
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.0,2.834671425061767,0.043848612608038795,0.22235107421875,0.004381031919050062,0.0,0.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.1,2.6790612521391797,0.04482466091235886,0.15547673999136863,0.009877361189903098,0.0,1.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.2,2.5366064824983554,0.05602704700592713,0.11422688013386714,0.012144890144797813,0.0,1.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.3,2.405741718834401,0.045728040707720394,0.07191533744673223,0.010438713087866314,0.0,1.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.4,2.2545618355926083,0.05163423070543451,0.039642432344285536,0.009043180264355934,0.0,1.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.5,2.1157522237728794,0.04864262363066968,0.011095354565966489,0.00819458138924512,0.0,0.42
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.6,1.9832483092846505,0.051836118068969865,5.02742949462043e-06,3.5192006462343015e-05,0.0,0.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.7,1.833030425411206,0.05084680818441137,0.0,0.0,0.0,0.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.8,1.6891865583486227,0.06988125856080019,0.0,0.0,0.0,0.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,0.9,1.5350072957153063,0.05530588117013539,0.0,0.0,0.0,0.0
Ideal_0%,2.1244856095402556,2.8349431188549916,0.03738999353664655,1.4140281002255195,0.062187789823232004,1.0,1.4214776677191043,0.06087213231662136,0.0,0.0,0.0,0.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.0,2.614019903098904,0.043542063250950475,0.11575708233197197,0.010517194070038583,0.0,0.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.1,2.4786700681186997,0.04877392300250208,0.07966040733236844,0.008751374241233078,0.0,1.0
