Protocol,Noise_Profile,F_Eve,QBER_Threshold,CHSH_Threshold,Mean_Metric,Std_Metric,Mean_SKR,Std_SKR,FPR,FNR
BB84,Ideal_0%,0.0,0.11,N/A,0.0,0.0,0.4997599999999999,0.017940523961133364,0.0,0.0
BB84,Ideal_0%,0.2,0.11,N/A,0.049724594424278734,0.008084701782598064,0.2158362116826056,0.034538237717401735,0.0,1.0
BB84,Ideal_0%,0.4,0.11,N/A,0.10261424572162699,0.013726205803652379,0.03310365946195812,0.03253338086664281,0.0,0.68
BB84,Ideal_0%,0.6,0.11,N/A,0.15113697212813404,0.017173164155963393,0.0007931821461214092,0.005552275022849864,0.0,0.02
BB84,Ideal_0%,0.8,0.11,N/A,0.20053075660404546,0.017156236842606906,0.0,0.0,0.0,0.0
BB84,Ideal_0%,1.0,0.11,N/A,0.2504478341543519,0.025954755996124703,0.0,0.0,0.0,0.0
BB84,Noise_2%,0.0,0.11,N/A,0.01994528639654219,0.006249365961254914,0.36023422890702606,0.03764627223429813,0.0,0.0
BB84,Noise_2%,0.2,0.11,N/A,0.06809125083208964,0.014446035689126393,0.14293519829436682,0.052890617814849744,0.0,1.0
BB84,Noise_2%,0.4,0.11,N/A,0.11693481544459053,0.014572355108082179,0.009513388927975127,0.017877419298897357,0.0,0.36
BB84,Noise_2%,0.6,0.11,N/A,0.16238286075801756,0.015594557888932109,0.0,0.0,0.0,0.0
BB84,Noise_2%,0.8,0.11,N/A,0.2159171040503188,0.01885257933653651,0.0,0.0,0.0,0.0
BB84,Noise_2%,1.0,0.11,N/A,0.2566070235741724,0.017361221483197353,0.0,0.0,0.0,0.0
BB84,Noise_5%,0.0,0.11,N/A,0.05098056692871717,0.009632771293304455,0.21252752014367793,0.0412033453305777,0.0,0.0
BB84,Noise_5%,0.2,0.11,N/A,0.09147479249893296,0.01105064059328584,0.05930223589966167,0.035946904410483434,0.0,0.94
BB84,Noise_5%,0.4,0.11,N/A,0.13963348159689803,0.01602563927376123,0.0005535853522916626,0.0038750974660416385,0.0,0.02
BB84,Noise_5%,0.6,0.11,N/A,0.18348838811077267,0.01818201318546092,0.0,0.0,0.0,0.0
BB84,Noise_5%,0.8,0.11,N/A,0.22913788897311727,0.018415420161598386,0.0,0.0,0.0,0.0
BB84,Noise_5%,1.0,0.11,N/A,0.2738694163687658,0.0193214715794217,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.0,0.11,N/A,0.08009957956874633,0.012966267021006866,0.0999332918302141,0.04522833567991915,0.02,0.0
